Time [s],Channel 0,Channel 1,Channel 2,Channel 3
11.884204083,0,0,0,0
11.884808667,1,0,0,0
11.885328250,0,0,0,0
11.885938667,1,0,0,0
11.886452417,0,0,0,0
11.887057583,1,0,0,0
11.887576583,0,0,0,0
11.888187500,1,0,0,0
11.888701417,0,0,0,0
11.889306583,1,0,0,0
11.890949083,0,0,0,0
11.891555500,1,0,0,0
11.892073250,0,0,0,0
11.892685583,1,0,0,0
11.893197417,0,0,0,0
11.893804500,1,0,0,0
11.895445083,0,0,0,0
11.896053417,1,0,0,0
11.897692750,0,0,0,0
11.898302417,1,0,0,0
11.899940417,0,0,0,0
11.900551500,1,0,0,0
11.902188083,0,0,0,0
11.902800583,1,0,0,0
11.904436333,0,0,0,0
11.905049667,1,0,0,0
11.944842500,0,0,0,0
11.953852250,1,0,0,0
11.956067333,0,0,0,0
11.956677167,1,0,0,0
12.052554417,0,0,0,0
12.061560500,1,0,0,0
12.063779583,0,0,0,0
12.064385417,1,0,0,0
12.160266250,0,0,0,0
12.169279500,1,0,0,0
12.171491000,0,0,0,0
12.172104167,1,0,0,0
13.049018333,0,0,0,0
13.058023167,1,0,0,0
13.062486250,0,0,0,0
13.063129333,1,0,0,0
13.063610167,0,0,0,0
13.064248417,1,0,0,0
13.064734333,0,0,0,0
13.065367417,1,0,0,0
13.065858500,0,0,0,0
13.066497167,1,0,0,0
13.066982667,0,0,0,0
13.067616417,1,0,0,0
13.068106833,0,0,0,0
13.068746250,1,0,0,0
13.069231000,0,0,0,0
13.069865250,1,0,0,0
13.071478667,0,0,0,0
13.072114333,1,0,0,0
13.072603500,0,0,0,0
13.073244333,1,0,0,0
13.074851167,0,0,0,0
13.075493167,1,0,0,0
13.077098833,0,0,0,0
13.077742083,1,0,0,0
13.079346500,0,0,0,0
13.079980167,1,0,0,0
13.081594167,0,0,0,0
13.082229083,1,0,0,0
13.083841833,0,0,0,0
13.084478167,1,0,0,0
13.086089500,0,0,0,0
13.086727083,1,0,0,0
13.087213667,0,0,0,0
13.087856917,1,0,0,0
13.089461667,0,0,0,0
13.090095000,1,0,0,0
13.091709333,0,0,0,0
13.092343750,1,0,0,0
13.093956917,0,0,0,0
13.094592667,1,0,0,0
13.096204667,0,0,0,0
13.096841667,1,0,0,0
13.097328833,0,0,0,0
13.097971500,1,0,0,0
13.098453000,0,0,0,0
13.099090583,1,0,0,0
13.099577167,0,0,0,0
13.100220417,1,0,0,0
13.100701250,0,0,0,0
13.101339500,1,0,0,0
13.101826167,0,0,0,0
